epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.522,0.1721,2.29676,0.96132,0.25658,0.66673,0.32038,0.31533,0.1832,1.51989,0.36671,0.00333022,0.00333022,0.00333022
2,690.333,0.15983,1.68623,0.92154,0.38335,0.58483,0.37142,0.3661,0.19962,1.50496,0.36768,0.00653161,0.00653161,0.00653161
3,1015.56,0.17815,1.53739,0.92516,0.28214,0.625,0.3533,0.30349,0.39218,1.66168,0.47991,0.00960101,0.00960101,0.00960101
4,1335.96,0.16303,1.47115,0.92203,0.32511,0.60752,0.41198,0.39885,0.29431,1.28266,0.47187,0.009406,0.009406,0.009406
5,1658.46,0.13163,1.40954,0.91052,0.38207,0.63276,0.46422,0.46246,0.2281,1.21363,0.41528,0.009208,0.009208,0.009208
6,1980.72,0.11217,1.36965,0.90368,0.42433,0.67481,0.53367,0.51164,0.3064,1.17765,0.50437,0.00901,0.00901,0.00901
7,2302.47,0.10077,1.34007,0.89996,0.40439,0.68301,0.5252,0.50928,0.25599,1.13654,0.4141,0.008812,0.008812,0.008812
8,2625.1,0.0935,1.32519,0.8991,0.44651,0.67596,0.5679,0.56391,0.24957,1.11764,0.42438,0.008614,0.008614,0.008614
9,2947.75,0.08499,1.30545,0.8941,0.60546,0.58175,0.58641,0.57574,0.26064,1.08958,0.43524,0.008416,0.008416,0.008416
10,3270.49,0.08028,1.29177,0.89393,0.43987,0.71383,0.58177,0.57295,0.28124,1.08865,0.47646,0.008218,0.008218,0.008218
11,3592.11,0.07636,1.28253,0.89419,0.47843,0.68793,0.6029,0.60063,0.25595,1.0609,0.4281,0.00802,0.00802,0.00802
12,3912.66,0.07273,1.27097,0.89263,0.5127,0.6702,0.61011,0.60651,0.24213,1.05673,0.4271,0.007822,0.007822,0.007822
13,4235.24,0.06956,1.25744,0.8916,0.50761,0.69993,0.63655,0.63279,0.25076,1.03444,0.41597,0.007624,0.007624,0.007624
14,4558.44,0.06652,1.24874,0.89323,0.55641,0.6817,0.65349,0.65114,0.23016,1.00536,0.40218,0.007426,0.007426,0.007426
15,4880.79,0.06433,1.23457,0.89193,0.5903,0.68249,0.67733,0.67675,0.23248,0.95772,0.40411,0.007228,0.007228,0.007228
16,5201.54,0.0616,1.22865,0.89171,0.58679,0.68426,0.67232,0.65173,0.27534,1.01854,0.42611,0.00703,0.00703,0.00703
17,5519.48,0.0616,1.22163,0.89126,0.60275,0.68838,0.69157,0.69059,0.22005,0.93872,0.38887,0.006832,0.006832,0.006832
18,5838.06,0.05825,1.21214,0.88893,0.61104,0.70699,0.71225,0.71077,0.22465,0.91881,0.39938,0.006634,0.006634,0.006634
19,6156.22,0.05674,1.19862,0.88997,0.62273,0.68678,0.71032,0.70963,0.22517,0.92022,0.39197,0.006436,0.006436,0.006436
20,6475.83,0.05543,1.19747,0.889,0.64842,0.69621,0.72725,0.72592,0.23271,0.89283,0.40436,0.006238,0.006238,0.006238
21,6793.8,0.0538,1.18493,0.88971,0.6163,0.72608,0.73274,0.73189,0.23152,0.89197,0.40261,0.00604,0.00604,0.00604
22,7113.54,0.0524,1.17941,0.88832,0.65489,0.70845,0.74491,0.74408,0.22575,0.88073,0.40173,0.005842,0.005842,0.005842
23,7436.06,0.05099,1.16567,0.88826,0.65638,0.72156,0.75047,0.75013,0.22425,0.86497,0.40405,0.005644,0.005644,0.005644
24,7757.29,0.04917,1.15727,0.8873,0.64639,0.73569,0.75251,0.75248,0.21314,0.85772,0.38547,0.005446,0.005446,0.005446
25,8076.31,0.04829,1.15255,0.88613,0.67452,0.72307,0.76394,0.75904,0.22283,0.8431,0.39883,0.005248,0.005248,0.005248
26,8399.4,0.04766,1.14591,0.88597,0.69415,0.72302,0.77306,0.77271,0.2127,0.81862,0.38924,0.00505,0.00505,0.00505
27,8722.73,0.04601,1.13894,0.88955,0.67625,0.7422,0.77529,0.77528,0.21975,0.82547,0.39958,0.004852,0.004852,0.004852
28,9046.12,0.04502,1.13593,0.88541,0.68292,0.72873,0.77728,0.77681,0.22311,0.82174,0.40452,0.004654,0.004654,0.004654
29,9369.08,0.04384,1.12397,0.88477,0.68275,0.73566,0.77847,0.77843,0.20934,0.81506,0.38459,0.004456,0.004456,0.004456
30,9689.95,0.04375,1.1189,0.88631,0.68279,0.74527,0.78553,0.78552,0.21608,0.80859,0.39409,0.004258,0.004258,0.004258
31,10012.7,0.04323,1.11442,0.8861,0.66895,0.76668,0.78451,0.78346,0.22402,0.81256,0.40503,0.00406,0.00406,0.00406
32,10334.4,0.04222,1.10697,0.88627,0.69124,0.74644,0.78675,0.78663,0.21625,0.80293,0.39409,0.003862,0.003862,0.003862
33,10656.5,0.04133,1.09501,0.88617,0.69611,0.73808,0.78888,0.78888,0.20613,0.80354,0.38121,0.003664,0.003664,0.003664
34,10978.7,0.03991,1.09244,0.88717,0.68649,0.75135,0.79,0.78995,0.19646,0.78913,0.36513,0.003466,0.003466,0.003466
35,11301.2,0.03967,1.08954,0.8859,0.69124,0.7549,0.79515,0.79486,0.21389,0.79176,0.38921,0.003268,0.003268,0.003268
36,11621.3,0.03855,1.08352,0.88553,0.69789,0.758,0.79928,0.79897,0.20545,0.79352,0.38221,0.00307,0.00307,0.00307
37,11941.5,inf,1.07688,0.8844,0.69669,0.75531,0.80122,0.80097,0.21291,0.79087,0.39399,0.002872,0.002872,0.002872
38,12263.6,0.03737,1.07299,0.88558,0.7036,0.74901,0.80513,0.8051,0.21252,0.78408,0.39113,0.002674,0.002674,0.002674
39,12586.4,0.03627,1.06875,0.88523,0.70641,0.75414,0.80586,0.80584,0.2092,0.78528,0.38877,0.002476,0.002476,0.002476
40,12909.6,0.03541,1.05856,0.88663,0.7136,0.74423,0.80666,0.80659,0.20521,0.78302,0.38676,0.002278,0.002278,0.002278
41,13221,0.02583,0.6479,0.90034,0.71357,0.74786,0.81069,0.81053,0.2133,0.77944,0.39562,0.00208,0.00208,0.00208
42,13527.3,0.02362,0.6077,0.90025,0.71335,0.76231,0.81501,0.81485,0.2185,0.77661,0.40166,0.001882,0.001882,0.001882
43,13833.7,0.02201,0.59407,0.89842,0.72133,0.75585,0.81745,0.81714,0.21925,0.77978,0.40315,0.001684,0.001684,0.001684
44,14140.6,inf,0.57861,0.90036,0.71702,0.75992,0.81914,0.81878,0.22258,0.78135,0.40841,0.001486,0.001486,0.001486
45,14449.3,0.02011,0.55358,0.89789,0.70653,0.77261,0.82094,0.82053,0.22245,0.78255,0.40862,0.001288,0.001288,0.001288
46,14756.8,0.01912,0.53744,0.89696,0.71943,0.75828,0.82094,0.82018,0.22264,0.78644,0.41025,0.00109,0.00109,0.00109
47,15069.9,0.01803,0.52389,0.89787,0.72471,0.75625,0.82138,0.82068,0.22184,0.79135,0.41027,0.000892,0.000892,0.000892
48,15377.6,0.01756,0.51031,0.89674,0.71802,0.76535,0.82198,0.82127,0.22218,0.79513,0.4112,0.000694,0.000694,0.000694
49,15685.7,0.01703,0.491,0.89683,0.71714,0.76732,0.82247,0.82136,0.2228,0.8002,0.41207,0.000496,0.000496,0.000496
