epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.054,0.53133,2.51443,1.48722,0.30395,0.7123,0.40505,0.40502,0.14345,1.40981,0.35239,0.000277407,0.000277407,0.000277407
2,368.202,0.08257,1.38578,0.93269,0.37771,0.71327,0.50292,0.50291,0.14169,1.31481,0.31258,0.000500121,0.000500121,0.000500121
3,527.971,0.07037,1.18116,0.92018,0.42787,0.70471,0.56346,0.56345,0.12687,1.17298,0.2831,0.000667858,0.000667858,0.000667858
4,686.252,0.06013,1.08702,0.9165,0.5207,0.66787,0.6039,0.6039,0.12992,1.09938,0.28159,0.000585599,0.000585599,0.000585599
5,843.669,0.05495,1.00672,0.90966,0.58855,0.69577,0.68323,0.68323,0.12741,1.00471,0.27734,0.000503132,0.000503132,0.000503132
6,1001.89,0.04709,0.9418,0.90996,0.61098,0.68091,0.69096,0.69095,0.12033,1.07009,0.26857,0.000420665,0.000420665,0.000420665
7,1159.8,0.04282,0.88778,0.90536,0.64097,0.70912,0.72297,0.72297,0.12508,0.93533,0.27498,0.000338198,0.000338198,0.000338198
8,1316.63,0.03904,0.82993,0.90393,0.63828,0.71569,0.74198,0.74198,0.11577,0.92479,0.26096,0.000255731,0.000255731,0.000255731
9,1472.87,inf,0.77888,0.90451,0.64803,0.73991,0.75542,0.75542,0.10347,0.85265,0.24575,0.000173264,0.000173264,0.000173264
10,1628.71,0.03085,0.72941,0.90263,0.67708,0.73711,0.77227,0.77227,0.10852,0.87417,0.25203,9.0797e-05,9.0797e-05,9.0797e-05
