epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.579,0.13716,2.1238,0.94303,0.36963,0.54278,0.39491,0.39165,0.19729,1.36433,0.36862,0.000277407,0.000277407,0.000277407
2,663.223,0.09337,1.49995,0.90233,0.31287,0.66511,0.43949,0.42367,0.29151,1.48031,0.43232,0.000527597,0.000527597,0.000527597
3,974.01,0.08766,1.39887,0.89837,0.41291,0.66519,0.49395,0.4923,0.14302,1.22796,0.29441,0.000750299,0.000750299,0.000750299
4,1284.95,0.07797,1.351,0.89736,0.51299,0.53385,0.50353,0.49958,0.21971,1.21318,0.39599,0.000709299,0.000709299,0.000709299
5,1595.47,0.06883,1.30869,0.89403,0.49306,0.64266,0.56816,0.56725,0.18788,1.06199,0.35288,0.000668066,0.000668066,0.000668066
6,1907.57,inf,1.28668,0.89306,0.52958,0.66497,0.63268,0.63046,0.25249,1.03327,0.42327,0.000626832,0.000626832,0.000626832
7,2219.47,0.05939,1.25599,0.89119,0.53805,0.65019,0.62055,0.62032,0.17835,1.02513,0.34684,0.000585599,0.000585599,0.000585599
8,2528.25,0.05421,1.2376,0.89033,0.58086,0.68264,0.67648,0.67648,0.16584,0.94475,0.3367,0.000544365,0.000544365,0.000544365
9,2837.9,0.05185,1.21554,0.8874,0.57809,0.68541,0.67043,0.67005,0.19227,0.95075,0.3644,0.000503132,0.000503132,0.000503132
10,3152,inf,1.19766,0.88712,0.62312,0.70196,0.7211,0.72109,0.16538,0.87242,0.33181,0.000461898,0.000461898,0.000461898
11,3456.71,0.03699,0.90234,0.90269,0.60154,0.73096,0.722,0.72114,0.18302,0.89151,0.36239,0.000420665,0.000420665,0.000420665
12,3760.31,0.03178,0.83074,0.9013,0.65732,0.72058,0.75371,0.74802,0.23645,0.85355,0.41665,0.000379431,0.000379431,0.000379431
13,4059.77,0.02889,0.78664,0.89979,0.66665,0.73138,0.77017,0.77014,0.17328,0.79828,0.3521,0.000338198,0.000338198,0.000338198
14,4358.59,0.02726,0.75545,0.90041,0.67705,0.73761,0.77725,0.77725,0.17,0.78168,0.34663,0.000296964,0.000296964,0.000296964
15,4654.36,0.02469,0.72309,0.90083,0.66518,0.76532,0.78952,0.78952,0.16388,0.7595,0.34023,0.000255731,0.000255731,0.000255731
16,4948.64,0.02393,0.67551,0.89803,0.68053,0.75688,0.79105,0.79099,0.1539,0.76045,0.32794,0.000214497,0.000214497,0.000214497
17,5241.85,inf,0.65716,0.89769,0.69819,0.75519,0.79908,0.79908,0.15581,0.74968,0.33266,0.000173264,0.000173264,0.000173264
18,5536.26,0.02074,0.62059,0.89686,0.71644,0.74663,0.80466,0.80466,0.15999,0.7519,0.33919,0.000132031,0.000132031,0.000132031
19,5830.55,0.01945,0.59177,0.89824,0.71246,0.75598,0.8087,0.80865,0.16832,0.7468,0.34758,9.0797e-05,9.0797e-05,9.0797e-05
20,6125.14,inf,0.56541,0.89692,0.72372,0.75107,0.81216,0.81216,0.16638,0.73812,0.34568,4.95635e-05,4.95635e-05,4.95635e-05
